Sno,"Cheque no","Issue Authority","DDO Code","Head of Account","Issue Date","Amount (in Rs)",Purpose,"Party Name"
1,016309,"Raithu Sadhikara Samstha (AAO,O/o Commissioner of Agriculture)",27020102003,8449001200043000000NVN,29-05-2015,"1,30,10,57,420","Transfer to escrow account of Rythu Sadhikara Samstha","RYTHU SADHIKARA SAMSTHA"
2,018114,"SEEDS DEV CORP, AP STATE -V.C & M.D",27020107002,8449001200063000000NVN,09-06-2015,"3,84,42,000","ground nut seed payments","APCOOP OIL SEEDS GROWERS FEDERATION LTD"
