0805,STATE BANK OF INDIA,SBIN0000858
0806,STATE BANK OF INDIA,SBIN0000798
0807,SYNDICATE BANK,SYNB0003470
0808,STATE BANK OF INDIA,SBIN0000773
0809,SYNDICATE BANK,SYNB0003472
0810,STATE BANK OF INDIA,SBIN0000969
0811,STATE BANK OF INDIA,SBIN0003177
0812,STATE BANK OF INDIA,SBIN0006052
0813,STATE BANK OF INDIA,SBIN0005917
0814,SYNDICATE BANK,SYNB0003468
0815,STATE BANK OF INDIA,SBIN0003353
0816,STATE BANK OF INDIA,SBIN0002811
0901,STATE BANK OF INDIA,SBIN0006305
0902,STATE BANK OF INDIA,SBIN0000801
0903,STATE BANK OF INDIA,SBIN0000784
0904,STATE BANK OF INDIA,SBIN0000779
0905,STATE BANK OF INDIA,SBIN0000986
0906,STATE BANK OF INDIA,SBIN0001179
0907,STATE BANK OF INDIA,SBIN0000834
0908,STATE BANK OF INDIA,SBIN0002725
0909,STATE BANK OF INDIA,SBIN0000984
0910,STATE BANK OF INDIA,SBIN0000866
0911,STATE BANK OF INDIA,SBIN0001023
0912,STATE BANK OF INDIA,SBIN0000883
0913,STATE BANK OF INDIA,SBIN0000981
0914,STATE BANK OF INDIA,SBIN0000955
0915,STATE BANK OF INDIA,SBIN0000750
1001,STATE BANK OF INDIA,SBIN0012831
1002,STATE BANK OF INDIA,SBIN0000806
1003,STATE BANK OF INDIA,SBIN0000250
1004,STATE BANK OF INDIA,SBIN0000976
1005,STATE BANK OF INDIA,SBIN0000957
1006,STATE BANK OF INDIA,SBIN0000845
1007,STATE BANK OF INDIA,SBIN0000849
1008,STATE BANK OF INDIA,SBIN0001318
1009,STATE BANK OF INDIA,SBIN0005656
1010,STATE BANK OF INDIA,SBIN0002738
1011,ANDHRA BANK,ANDB0000339
1012,STATE BANK OF INDIA,SBIN0000251
1013,STATE BANK OF INDIA,SBIN0000790
1014,STATE BANK OF INDIA,SBIN0000960
1015,STATE BANK OF INDIA,SBIN0006108
1016,STATE BANK OF INDIA,SBIN0000923
1017,STATE BANK OF INDIA,SBIN0000946
1018,ANDHRA BANK,ANDB0001854
1101,STATE BANK OF INDIA,SBIN0007083
1102,STATE BANK OF INDIA,SBIN0000825
1103,STATE BANK OF INDIA,SBIN0001616
1104,STATE BANK OF INDIA,SBIN0000785
1105,SB OF MYSORE,SBMY0040004
1106,STATE BANK OF INDIA,SBIN0000868
1107,STATE BANK OF INDIA,SBIN0002762
1108,STATE BANK OF INDIA,SBIN0002773
1109,STATE BANK OF INDIA,SBIN0000266
1110,STATE BANK OF INDIA,SBIN0001491
1111,SB OF MYSORE,SBMY0040003
1112,STATE BANK OF INDIA,SBIN0000580
1113,STATE BANK OF INDIA,SBIN0002793
1114,STATE BANK OF INDIA,SBIN0000851
