Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,1010102004,8449-120-30,464000
2,JDA Vizianagarm,22010102005,8449-120-30,464000
3,Jda Visakhapatnam,2010102002,8449-120-30,464000
4,Jda East Godavari,3010102004,8449-120-30,928000
5,JDA Guntur,6010102002,8449-120-30,928000
6,JDA Prakasam,7010102001,8449-120-30,464000
7,JDA SPS Nellore,8010102002,8449-120-30,928000
8,JDA Kurnool,9010102001,8449-120-30,464000
9,JDA West Godavari,4010102006,8449-120-30,464000
10,JDA Chittor,11010102002,8449-120-30,464000
11,JDa Kadapa,12010102008,8449-120-30,928000
12,APSSDC ,27020107002,8449-120-63,5552000
