s.no,starting_leaf,ending_leaf
C01,24201,24300
C02,24301,24400
C03,24401,24500
C04,24501,24600
C05,24601,24700
C06,24701,24800
C07,24801,24900
C08,24901,25000
C09,25001,25100
C10,25101,25200
C11,25201,25300
C12,25301,25400
C13,25401,25500
C14,25501,25600
C15,25601,25700
C16,25701,25800
C17,25801,25900
C18,25901,26000
C19,26001,26100
C20,26101,26200
C21,26201,26300
C22,26301,26400
C23,26401,26500
C24,26501,26600
C25,26601,26700
C26,26701,26800
C27,26801,26900
C28,26901,27000
C29,27001,27100
C30,27101,27200
C31,27201,27300
C32,27301,27400
C33,27401,27500
C34,27501,27600
C35,27601,27700
C36,27701,27800
C37,27801,27900
C38,27901,28000
C39,28001,28100
C40,28101,28200
C41,28201,28300
C42,28301,28400
C43,28401,28500
C44,28501,28600
C45,28601,28700
C46,28701,28800
C47,28801,28900
C48,28901,29000
C49,29001,29100
C50,29101,29200
C51,29201,29300
C52,8001,8100
C53,8101,8200
C54,8201,8300
C55,8301,8400
C56,8401,8500
C57,8501,8600
C58,8601,8700
C59,8701,8800
C60,8801,8900
C61,8901,9000
C62,9001,9100
C63,9101,9200
C64,9201,9300
C65,9301,9400
C66,9401,9500
C67,9501,9600
C68,9601,9700
C69,9701,9800
C70,9801,9900
C71,9901,10000
C72,10001,10100
C73,10101,10200
C74,10201,10300
C75,10301,10400
C76,10401,10500
C77,10501,10600
C78,10601,10700
C79,10701,10800
C80,10801,10900
C81,10901,11000
C82,11001,11100
C83,11101,11200
C84,11201,11300
C85,11301,11400
C86,11401,11500
C87,11501,11600
C88,11601,11700
C89,11701,11800
C90,11801,11900
C91,11901,12000
C92,12001,12100
C93,12101,12200
C94,12201,12300
C95,12301,12400
C96,12401,12500
C97,12501,12600
C98,12601,12700
C99,12701,12800
C100,12801,12900
C101,12901,13000
C102,13001,13100
C103,13101,13200
C104,13201,13300
C105,13301,13400
C106,13401,13500
