Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,0101-0102-004,8449-120-30,48000000
2,JDA Vizianagarm,2201-0102-005,8449-120-30,44525000
3,Jda Visakhapatnam,0201-0102-002,8449-120-30,7500000
4,Jda East Godavari,0301-0102-004,8449-120-30,30030000
5,Jda West Godavari,0401-0102-006,8449-120-30,50450000
6,Jda Krishna,0501-0102-002,8449-120-30,30000000
7,JDA Guntur,0601-0102-002,8449-120-30,64679000
8,JDA Prakasam,0701-0102-001,8449-120-30,19100000
9,JDA SPS Nellore,0801-0102-002,8449-120-30,35700000
10,JDA Kurnool,0901-0102-001,8449-120-30,30000000
11,Jda Chittor,1101-0102-002,8449-120-30,34000000
