Sno,"Account Name","DDO Code",HOA,Amount
1,"M.P.D.O. Amadalavalasa",01022202001,8448001200022000000NVN,195000
2,"M.P.D.O. Bhamini",01052202003,8448001200022000000NVN,165000
3,"M.P.D.O. Burja",01072202006,8448001200022000000NVN,190000
4,"M.P.D.O. Etcherla",01102202002,8448001200022000000NVN,195000
5,"M.P.D.O. G. Sigadam",01102202003,8448001200022000000NVN,210000
6,"M.P.D.O. Gara",01012202008,8448001200022000000NVN,175000
7,"M.P.D.O. Hiramandalam",01052202001,8448001200022000000NVN,170000
8,"M.P.D.O. Ichapuram",01032202001,8448001200022000000NVN,160000
9,"M.P.D.O. Jalumuru",01042202001,8448001200022000000NVN,255000
10,"M.P.D.O. Kanchili",01122202002,8448001200022000000NVN,205000
11,"M.P.D.O. Kaviti",01032202002,8448001200022000000NVN,160000
12,"M.P.D.O. Kotabommali",01042202002,8448001200022000000NVN,245000
13,"M.P.D.O. Kotturu",01052202002,8448001200022000000NVN,220000
14,"M.P.D.O. L.N. Peta",01022202102,8448001200022000000NVN,150000
15,"M.P.D.O. Laveru",01102202004,8448001200022000000NVN,185000
16,"M.P.D.O. Mandasa",01122202001,8448001200022000000NVN,245000
17,"M.P.D.O. Meliaputti",01092202002,8448001200022000000NVN,210000
18,"M.P.D.O. Nandigam",01142202002,8448001200022000000NVN,240000
19,"M.P.D.O. Narasannapeta",01062202001,8448001200022000000NVN,225000
20,"M.P.D.O. Palakonda",01072202002,8448001200022000000NVN,215000
21,"M.P.D.O. Palasa",01082202001,8448001200022000000NVN,150000
22,"M.P.D.O. Pathapatnam",01092202001,8448001200022000000NVN,225000
23,"M.P.D.O. Polaki",01062202002,8448001200022000000NVN,210000
24,"M.P.D.O. Ponduru",01102202001,8448001200022000000NVN,200000
25,"M.P.D.O. R. Amadalavalasa",01112202113,8448001200022000000NVN,250000
26,"M.P.D.O. Rajam",01112202111,8448001200022000000NVN,155000
27,"M.P.D.O. Ranasthalam",01012202001,8448001200022000000NVN,205000
28,"M.P.D.O. Santhabommali",01142202003,8448001200022000000NVN,225000
29,"M.P.D.O. Santhakaviti",01112202112,8448001200022000000NVN,225000
30,"M.P.D.O. Saravakota",01092202003,8448001200022000000NVN,225000
31,"M.P.D.O. Sarubujjili",01022202002,8448001200022000000NVN,160000
32,"M.P.D.O. Seethampeta",01072202004,8448001200022000000NVN,175000
33,"M.P.D.O. Sompeta",01122202003,8448001200022000000NVN,170000
34,"M.P.D.O. Srikakulam",01012202009,8448001200022000000NVN,190000
35,"M.P.D.O. Tekkali",01142202004,8448001200022000000NVN,190000
36,"M.P.D.O. Vajrapukotturu",01082202002,8448001200022000000NVN,240000
37,"M.P.D.O. Vangara",01072202005,8448001200022000000NVN,190000
38,"M.P.D.O. Veeraghattam",01072202003,8448001200022000000NVN,185000
39,"COMMNR. Srikakulam Municipality",01011802001,8448001200022000000NVN,245000
40,"COMMNR. Rajam Nagarpanchayat",01111802001,8448001200022000000NVN,165000
41,"COMMNR. Amadalavalasa Municipality",01021802001,8448001200022000000NVN,180000
42,"COMMNR. Palakonda Nagarpanchayat",01071802001,8448001200022000000NVN,165000
43,"COMMNR. Palasa-Kasibugga Municipality",01081802001,8448001200022000000NVN,190000
44,"COMMNR. Ichapuram Municipality",01031802001,8448001200022000000NVN,180000
