S.no,Party Name ,Party Account No.,Party Bank Name,Party Bank Branch,Party Bank ifsc Code,Party Amount
1,AD Mines & Geology Vizianagaram,10576584097,SBI,Vizianagaram,SBIN0006647,158483
2,Commercial Tax Officer East Vizianagaram,1.4221E+14,Andhra Bank,Vizianagaram,ANDB0000609,170138
3,Secretary AP Building & Other Construction Workers Welfare Board Hyderabad,,SBI,Balkempet Hyderabad,SBIN0003607,33582
4,EE Vig & QC Visakhapatnam,5.5401E+14,Axis Bank,Ramnagar Visakhapatnam,UTIB0000554,15818
