Sno,Account Name,DDO Code,HOA,Amount,
1,JDA Vizianagarm,2201-0102-005,8449-120-30,41555400,
2,JDA Guntur,0601-0102-002,8449-120-30,62597020,
3,Jda Chittor,1101-0102-002,8449-120-30,41555400,
