Sno,Account Name,DDO Code,HOA,Amount
1,"JDA.,SKLM",01010102004,8449-120-30,9325500
2,"JDA.,VZM",22010102005,8449-120-30,6210000
3,"JDA.,VSP",02010102002,8449-120-30,3444500
4,"JDA.,E.G.Dt.",03010102004,8449-120-30,21432000
5,"JDA.,W.G.Dt.",04010102006,8449-120-30,22388500
6,"JDA.,KRISHNA.Dt.",05010102002,8449-120-30,21765000
7,"JDA,.GUNTUR.Dt.",06010102002,8449-120-30,20698500
8,"JDA.,PRAKASAM.Dt.",07010102001,8449-120-30,23007000
9,"JDA.,NELLORE.Dt.",08010102002,8449-120-30,26399000
10,"JDA.,KURNOOL.Dt.",09010102001,8449-120-30,15440000
11,"JDA.,ANATHAPUR.Dt.",10010102007,8449-120-30,7788000
12,"JDA.,CHITTOR.Dt.",11010102002,8449-120-30,30996500
13,JDA.KADAPA.Dt.,12010102008,8449-120-30,15472500
