Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,0101-0102-004,8449-120-30,3750000
2,JDA Vizianagarm,2201-0102-005,8449-120-30,3750000
3,Jda Visakhapatnam,0201-0102-002,8449-120-30,3750000
4,JDA Guntur,0601-0102-002,8449-120-30,3750000
5,JDA Prakasam,0701-0102-001,8449-120-30,7500000
6,JDA SPS Nellore,0801-0102-002,8449-120-30,3750000
7,JDA Kurnool,0901-0102-001,8449-120-30,3750000
8,JDA Ananthapur,1001-0102-007,8449-120-30,15000000
9,JDA Kadapa,1201-0102-008,8449-120-30,3750000
10,Jda Chittor,1101-0102-002,8449-120-30,15000000
