Sno,Account Name,DDO Code,HOA,Amount
1,"JDA.,SRIKAKULAM Dt.",1010102004,8449-00-120-00-30,598000
2,"JDA.,VIZIANAGARAM  Dt.",22010102005,8449-00-120-00-30,1012000
3,"JDA.,VISAKHAPATNAM  Dt.",2010102002,8449-00-120-00-30,1104000
4,"JDA.,E.G.Dt.",3010102004,8449-00-120-00-30,1720400
5,"JDA.,W.G.Dt.",4010102006,8449-00-120-00-30,598000
6,"JDA.,KRISHNA Dt.",5010102002,8449-00-120-00-30,1053400
7,"JDA.,GUNTUR Dt.",6010102002,8449-00-120-00-30,1568600
8,"JDA.,PRAKASAM Dt.",7010102001,8449-00-120-00-30,929200
9,"JDA.,NELLORE  Dt.",8010102002,8449-00-120-00-30,1058000
10,"JDA.,KURNOOL  Dt.",9010102001,8449-00-120-00-30,1356770
11,"JDA.,KADAPA  Dt.",12010102008,8449-00-120-00-30,1223600
12,JDA.CHITTOR Dt.,11010102002,8449-00-120-00-30,1186800
13,JDA.ANATHAPUR  Dt.,10010102007,8449-00-120-00-30,598000
