Sno,"Account Name","DDO Code",HOA,Amount
1,"JDA Srikakulam",0101-0102-004,"8449-120-30 NVN",22500000
2,"JDA Vizianagaram",2201-0102-005,"8449-120-30 NVN",22500000
3,"JDA Visakhapatnam",0201-0102-002,"8449-120-30 NVN",22500000
4,"JDA East Godavari",0301-0102-004,"8449-120-30 NVN",35000000
5,"JDA West Godavari",0401-0102-006,"8449-120-30 NVN",35000000
6,"JDA Krishna",0501-0102-002,"8449-120-30 NVN",32300000
7,"JDA Guntur",0601-0102-002,"8449-120-30 NVN",35818000
8,"JDA Prakasam",0701-0102-001,"8449-120-30 NVN",23000000
9,"JDA Nellore",0801-0102-002,"8449-120-30 NVN",23000000
10,"JDA Kurnool",0901-0102-001,"8449-120-30 NVN",23000000
11,"JDA Ananthapur",1001-0102-007,"8449-120-30 NVN",23000000
12,"JDA Kadapa",1201-0102-008,"8449-120-30 NVN",23000000
13,"JDA Chittor",1101-0102-002,"8449-120-30 NVN",33462000
