S.No,DDOCODE,HOA,"ACCOUNT TYPE","BALANCE(in Rs.)","LOC(in Rs.)"
1,27022501008,8449001200002101000NVN,LOC,21369000,21369000
2,27022002001,8448001200022000000NVN,LOC,107816911,107816911
3,27022403001,8448001100043000000NVN,LOC,453511565,451222529
4,27020404001,8449001200022000000NVN,LOC,0,0
5,27021311001,8449001200017000000NVN,LOC,1015133006,527100606
6,27020803001,8443008000027000000NVN,LOC,376317,276175
7,27021207001,8443001060001000000NVN,LOC,434909,197531
8,27022501012,8449001200024000000NVN,LOC,247500000,2475000
9,27020331001,8448001100030000000NVN,LOC,0,0
10,27021903001,8448001200005001000NVN,LOC,0,0
11,27022501011,8449001200033000000NVN,LOC,87047405,21750000
12,27020107002,8449001200063000000NVN,LOC,92796682,84393
13,27022003001,8449001200056000000NVN,LOC,415983462,261091127
14,27022501010,8449001200002103000NVN,LOC,21369000,21369000
15,27020901004,8449001200097000000NVN,LOC,0,0
16,27020308001,8448001100034000000NVN,LOC,10658573,8826058
17,27020602002,8449001200053002000NVN,LOC,462786682,431879710
18,27021102002,8443008000001000000NVN,LOC,711002000,0
19,27022501002,8449001200031000000NVN,LOC,280411198,260000
20,27020302001,8448001100045000000NVN,LOC,0,0
21,27022207003,8448001100044000000NVN,LOC,0,0
22,27021901003,8448001200005002000NVN,LOC,0,0
23,27021334001,8449001200059000000NVN,LOC,0,0
24,27020304002,8448001100011000000NVN,LOC,0,0
25,27020111001,8448001100026000000NVN,LOC,65700000,65700000
26,27020107001,8449001200062000000NVN,LOC,125889682,0
27,27021226001,8342001030009000000NVN,LOC,17168354,354
28,27022501006,8449001200082000000NVN,LOC,101238702,21750000
29,27020913001,8449001200071000000NVN,LOC,2731467313,2299729456
30,27022406001,8449001200014001000NVN,LOC,2958092403,2724389586
31,27021906001,8448001100032000000NVN,LOC,426951,426951
32,27021301002,8449001200036000000NVN,LOC,56667000,56667000
33,27020902001,8443001060001000000NVN,LOC,7125169,5332600
34,27022409001,8448001100024000000NVN,LOC,134766912,78788803
35,27021307001,8449001200093000000NVN,LOC,24313445,17677964
36,27021802002,8448001200036000000NVN,LOC,0,0
37,27022706001,8449001200032000000NVN,LOC,0,0
38,27020406001,8449001200074000000NVN,LOC,0,0
39,27020602003,8342001200010000000NVN,LOC,61324000,57679000
40,27021901001,8448001200005004000NVN,LOC,100,0
41,27021905002,8449001200045000000NVN,LOC,1293478,0
42,27022501009,8449001200002102000NVN,LOC,36250000,36250000
43,27022201001,8448001200035000000NVN,LOC,86531351,58345828
44,27022501004,8449001200086000000NVN,LOC,21750000,21750000
45,27021331001,8449001200041000000NVN,LOC,359,364
46,27020801001,8443008000002002000NVN,LOC,404860,0
47,27020702002,8342001170004002000NVN,LOC,131769706,10707804
48,27020909001,8449001200061000000NVN,LOC,801588068,785047531
49,27021905001,8449001200038000000NVN,LOC,749141256,650080352
50,27020102001,8449001200005000000NVN,LOC,1259359028,1176831830
51,27021305001,8449001200001000000NVN,LOC,727812293,670696757
52,27022503001,8448001100066000000NVN,LOC,39355905,25924410
53,27022405001,8448001200009000000NVN,LOC,23502450,12567630
54,27021502001,8449001200077000000NVN,LOC,106918973,94794834
55,27020202001,8449001200009000000NVN,LOC,455166000,0
56,27020705001,8342001170004002000NVN,LOC,0,0
57,27022402001,8448001200020000000NVN,LOC,1626000,1626000
58,27022211001,8448001200033000000NVN,LOC,0,0
59,27022802001,8443008000013000000NVN,LOC,147876536,143443824
60,27020306001,8443001110006000000NVN,LOC,113370163,113370163
61,27020204001,8449001200060000000NVN,LOC,190080326,30731350
62,27022207001,8448001200029000000NVN,LOC,1424837557,1301155440
63,27020103001,8449001200092000000NVN,LOC,702523569,156831452
64,27022502001,8449001200019000000NVN,LOC,1173796368,898702956
65,27022806001,8449001200035000000NVN,LOC,47097323,40326092
66,27022501003,8449001200087000000NVN,LOC,122312634,21750000
67,27022808001,8448001100029000000NVN,LOC,8432220,8432220
68,27020105001,8448001200002000000NVN,LOC,16000000,0
69,27021301001,8449001200010000000NVN,LOC,45122360,0
70,27020102002,8449001200030000000NVN,LOC,852385816,602355554
71,27022501007,8449001200089000000NVN,LOC,94007605,21750000
72,27021316001,8449001200067000000NVN,LOC,1284705,809300
73,27022707001,8449001200028000000NVN,LOC,59253273,44249055
74,27020302002,8448001100055000000NVN,LOC,1023700000,1023700000
75,27020702002,8342001170004001000NVN,LOC,34517773,9312587
76,27021506001,8443001110004000000NVN,LOC,770782,571446
77,27021008001,8449001200048000000NVN,LOC,0,0
78,27020603001,8449001200053001000NVN,LOC,0,0
79,27021014001,8443001040001000000NVN,LOC,36141014,0
80,27022601001,8449001200047000000NVN,LOC,6018180,0
81,27020901003,8443008000028000000NVN,LOC,100,0
82,27022501005,8449001200080000000NVN,LOC,394344817,86999000
83,27020317001,8443001230001000000NVN,LOC,259839105,177988858
84,27021802001,8443001060001000000NVN,LOC,2271538168,765663168
85,27020407001,8449001200072000000NVN,LOC,24000000,0
86,27020815001,8449001200016000000NVN,LOC,39273835,31803216
87,27020705001,8342001170004001000NVN,LOC,-39244565,0
88,27021304001,8449001200025000000NVN,LOC,213868000,92592000
89,27021503001,8342001200009000000NVN,LOC,2456844358,1788310804
90,27020102003,8449001200043000000NVN,LOC,0,0
91,27021312002,8449001200098000000NVN,LOC,2327144600,1824025124
92,27022607001,8342001030010000000NVN,LOC,106839260,106839260
93,27020801001,8443008000002001000NVN,LOC,2682612919,2975002459
94,27022407001,8449001200027000000NVN,LOC,1122505452,978095135
95,27020901001,8449001200042000000NVN,LOC,792601546,688158720
96,27020104001,8448001200002000000NVN,LOC,587649720,12214772
97,27022304001,8443008000009000000NVN,LOC,2509654689,1549470854
98,27021802004,8449001200050000000NVN,LOC,0,0
