Sno,Starting Leaf,Ending Leaf
1,10501,10600
2,10601,10700
3,10701,10800
4,10801,10900
5,10901,11000
6,11001,11100
7,11101,11200
8,11201,11300
9,11301,11400
10,11401,11500
11,11501,11600
12,11601,11700
13,11701,11800
14,11801,11900
15,11901,12000
16,12001,12100
17,12101,12200
18,12201,12300
19,12301,12400
20,12401,12500
21,12501,12600
22,12601,12700
23,12701,12800
24,12801,12900
25,12901,13000
26,13001,13100
27,13101,13200
28,13201,13300
29,13301,13400
30,13401,13500
31,13501,13600
32,13601,13700
33,13701,13800
34,13801,13900
35,13901,14000
36,14001,14100
37,14101,14200
38,14201,14300
39,14301,14400
40,14401,14500
41,14501,14600
42,14601,14700
43,14701,14800
44,14801,14900
45,14901,15000
46,15001,15100
47,15101,15200
48,15201,15300
49,15301,15400
50,15401,15500
51,15501,15600
52,15601,15700
53,15701,15800
54,15801,15900
55,15901,16000
56,16001,16100
57,16101,16200
58,16201,16300
59,16301,16400
60,16401,16500
61,16501,16600
62,16601,16700
63,16701,16800
64,16801,16900
65,16901,17000
66,17001,17100
67,17101,17200
68,17201,17300
69,17301,17400
70,17401,17500
71,17501,17600
72,17601,17700
73,17701,17800
74,17801,17900
75,17901,18000
76,18001,18100
77,18101,18100
78,18101,18200
79,18201,18300
80,18301,18400
81,18401,18500
82,18501,18600
83,18601,18700
84,18701,18800
85,18801,18900
86,18901,19000
87,19001,19100
88,19101,19200
89,19201,19300
90,19301,19400
91,19401,19500
92,19501,19600
93,19601,19700
94,19701,19800
95,19801,19900
96,19901,20000
97,20001,20100
98,20101,20200
99,20201,20300
100,20301,20400
101,20401,20500
102,20501,20600
103,20601,20700
104,20701,20800
105,20801,20900
106,20901,21000
107,21001,21100
108,21101,21200
109,21201,21300
110,21301,21400
111,21401,21500
112,21501,21600
113,21601,21700
114,21701,21800
115,21801,21900
116,21901,22000
117,22001,22100
118,22101,22200
119,22201,22300
120,22301,22400
121,22401,22500
122,22501,22600
123,22601,22700
124,22701,22800
125,22801,22900
126,22901,23000
127,23001,23100
128,23101,23200
129,23201,23300
130,23301,23400
131,23401,23500
132,23501,23600
133,23601,23700
134,23701,23800
135,23801,23900
136,23901,24000
137,23001,24100
138,24101,24200
139,24201,24300
140,24301,24400
141,24401,24500
142,24501,24600
143,24601,24700
144,24701,24800
145,24801,24900
146,24901,25000
147,51,75
148,76,100
149,101,125
150,126,150
151,151,175
152,176,200
153,201,225
154,226,250
155,251,275
156,276,300
157,301,325
158,326,350
159,351,375
160,376,400
161,401,425
162,426,450
163,451,475
164,476,500
165,501,525
166,526,550
167,554,575
168,576,600
169,601,625
170,626,650
171,651,675
172,676,700
173,701,725
174,726,750
175,751,775
176,776,800
177,801,825
178,826,850
179,851,875
180,876,900
181,901,925
182,926,950
183,956,975
184,976,1000
185,1001,1025
186,1026,1050
187,1051,1075
188,1076,1100
189,1101,1125
190,1126,1150
191,1151,1175
192,1176,1200
193,1201,1225
194,1226,1250
195,1251,1275
196,1276,1300
197,1301,1325
198,1326,1350
199,1351,1375
200,1376,1400
201,1401,1425
202,1426,1450
203,1451,1475
204,1476,1500
205,1501,1525
206,1526,1550
207,1551,1575
208,1576,1600
209,1601,1625
210,1626,1650
211,1651,1675
212,1676,1700
213,1701,1725
214,1726,1750
215,1751,1775
216,1776,1800
217,1801,1825
218,1826,1850
219,1851,1875
220,1876,1900
221,1901,1925
222,1926,1950
223,1951,1975
224,1976,2000
225,2001,2025
226,2026,2050
227,2051,2075
228,2076,2100
229,2101,2125
230,2126,2150
231,2151,2175
232,2176,2200
233,2201,2225
234,2226,2250
235,2251,2275
236,2276,2300
237,2301,2325
238,2326,2350
239,2351,2375
240,2376,2400
241,2401,2425
242,2426,2450
243,2451,2475
244,2476,2500
245,2501,2525
246,2526,2550
247,2551,2575
248,2576,2600
249,2601,2625
250,2626,2650
251,2651,2675
252,2676,2700
253,2701,2725
254,2726,2750
255,2751,2775
256,2776,2800
257,2801,2825
258,2826,2850
259,2851,2875
260,2876,2900
261,2901,2925
262,2926,2950
263,2951,2975
264,2976,3000
265,3001,3025
266,3026,3050
267,3051,3075
268,3076,3100
269,3101,3125
270,3126,3150
271,3151,3175
272,3176,3100
273,3101,3125
274,3126,3150
275,3156,3175
276,3176,3200
277,3201,3225
278,3226,3250
279,3251,3275
280,3276,3300
281,3301,3325
282,3326,3350
283,3351,3375
284,3376,3400
285,3401,3425
286,3426,3450
287,3451,3475
288,3476,3500
289,3501,3525
290,3526,3550
291,3551,3575
292,3576,3600
293,3601,3625
294,3526,3550
295,3551,3575
296,3576,3600
297,3601,3625
298,3626,3650
299,3651,3675
300,3676,3700
301,3701,3725
302,3726,3750
303,3751,3775
304,3776,3800
305,3801,3825
306,3826,3850
307,3851,3875
308,3876,3900
309,3901,3925
310,3926,3950
311,3951,3975
312,3976,4000
313,4001,4025
314,4026,4050
315,4051,4075
316,4076,4100
317,4101,4125
318,4126,4150
319,4151,4175
320,4176,4200
321,4201,4225
322,4226,4250
323,4251,4275
324,4276,4300
325,4301,4325
326,4326,4350
327,4351,4375
328,4376,4400
329,4401,4425
330,4426,4450
331,4451,4475
332,4476,4500
333,4501,4525
334,4526,4550
335,4551,4575
336,4576,4600
337,4601,4625
338,4626,4650
339,4651,4675
340,4676,4700
341,4701,4725
342,4726,4750
343,4751,4775
344,4776,4800
345,4801,4825
346,4826,4850
347,4851,4875
348,4876,4900
349,4901,4925
350,4926,4950
351,4951,4975
352,4976,5000
