Sno,Starting Leaf,Ending Leaf
1,5601,5625
2,5626,5650
3,5651,5675
4,5676,5700
5,5701,5725
6,5726,5750
7,5751,5775
8,5776,5800
9,5801,5825
10,5826,5850
11,5851,5875
12,5876,5900
13,5901,5925
14,5926,5950
15,5951,5975
16,5976,6000
17,6001,6025
18,6026,6050
19,6051,6075
20,6076,6100
21,6101,6125
22,6126,6150
23,6151,6175
24,6176,6200
25,6201,6225
26,6226,6250
27,6251,6275
28,6276,6300
29,6301,6325
30,6326,6350
31,6351,6375
32,6376,6400
33,6401,6425
34,6426,6450
35,6451,6475
36,6476,6500
37,6501,6525
38,6526,6550
39,6551,6575
40,6576,6600
41,6601,6625
42,6626,6650
43,6651,6675
44,6675,6700
45,6701,6725
46,6726,6750
47,6751,6775
48,6775,6800
49,6801,6825
50,6826,6850
51,6851,6875
52,6876,6900
53,6901,6925
54,6926,6950
55,6951,6975
56,6976,7000
57,7001,7025
58,7026,7050
59,7051,7075
60,7076,7100
61,7101,7125
62,7126,7150
63,7151,7175
64,7176,7200
65,7201,7225
66,7226,7250
67,7251,7275
68,7276,7300
69,7301,7325
70,7326,7350
71,7351,7375
72,7376,7400
73,7401,7425
74,7426,7450
75,7451,7475
76,7476,7500
77,7501,7525
78,7526,7550
79,7551,7575
80,7576,7600
81,7601,7625
82,7626,7650
83,7651,7675
84,7676,7700
85,7701,7725
86,7726,7750
87,7751,7775
88,7776,7800
89,7801,7825
90,7826,7850
91,7851,7875
92,7876,7900
93,7901,7925
94,7926,7950
95,7951,7975
96,7976,8000
97,8001,8025
98,8026,8050
99,8051,8075
100,8076,8100
101,8101,8125
102,8126,8150
103,8151,8175
104,8176,8200
105,8201,8225
106,8226,8250
107,8251,8275
108,8276,8300
109,8301,8325
110,8326,8350
111,8351,8375
112,8376,8400
113,8401,8425
114,8426,8450
115,8451,8475
116,8476,8500
117,8501,8525
118,8526,8550
119,8551,8575
120,8576,8600
121,8601,8625
122,8626,8650
123,8651,8675
124,8676,8700
125,8701,8725
126,8726,8750
127,8751,8775
128,8776,8800
129,8801,8825
130,8826,8850
131,8851,8875
132,8876,8900
133,8901,8925
134,8926,8950
135,8951,8975
136,8976,9000
137,9001,9025
138,9026,9050
139,9051,9075
140,9076,9100
141,9101,9125
142,9126,9150
143,9151,9175
144,9176,9200
145,9201,9225
146,9226,9250
147,9251,9275
148,9276,9300
149,9301,9325
150,9326,9350
151,9351,9375
152,9376,9400
153,9401,9425
154,9426,9450
155,9451,9475
156,9476,9500
