Sno,"Account Name","DDO Code",HOA,Amount
" 1","MPDO CHITTOOR",11022202262,8448001090002011000NVN,94566
2,"MPDO GUDIPALA",11022202264,8448001090002011000NVN,227246
3,"MPDO THAVANAMPALLI",11022202265,8448001090002011000NVN,69271
4,"MPDO PUTHALAPATTU",11022202267,8448001090002011000NVN,1126466
5,"MPDO G.D.NELLORE",11022202268,8448001090002011000NVN,78892
6,"MPDO IRALA",11022202270,8448001090002011000NVN,20000
7,"MPDO BANGARUPALEM",11032202002,8448001090002011000NVN,332994
8,"MPDO GUDIPALLI",11052202007,8448001090002011000NVN,246005
9,"MPDO RAMAKUPPAM",11052202009,8448001090002011000NVN,1497130
10,"MPDO SANTHIPURAM",11052202010,8448001090002011000NVN,1148514
11,"MPDO PAKALA",11082202006,8448001090002011000NVN,1034699
12,"MPDO PILER",11102202003,8448001090002011000NVN,365966
13,"MPDO VEDURUKUPPAM",11122202014,8448001090002011000NVN,71843
14,"MPDO SATHYAVEDU",11132202005,8448001090002011000NVN,146734
15,"MPDO RAMACHANDRAPURAM",11162202011,8448001090002011000NVN,145306
16,"MPDO B.N.KANDRIGA",11172202002,8448001090002011000NVN,65786
