Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,1010102004,8449-120-30,78821000
2,JDA Vizianagarm,22010102005,8449-120-30,46940000
3,Jda Visakhapatnam,2010102002,8449-120-30,34051000
4,Jda East Godavari,3010102004,8449-120-30,20340000
5,Jda West Godavari,4010102006,8449-120-30,7992000
6,Jda Krishna,5010102002,8449-120-30,39205000
7,JDA Guntur,6010102002,8449-120-30,36104000
8,JDA Prakasam,7010102001,8449-120-30,51777000
9,JDA SPS Nellore,8010102002,8449-120-30,12683000
10,Jda Kadapa,12010102008,8449-120-30,38165000
11,JDA Kurnool,9010102001,8449-120-30,71612000
12,JDA Ananthapur,10010102007,8449-120-30,43473000
13,Jda Chittor,11010102002,8449-120-30,4377000
