Sno,"Account Name","DDO Code",HOA,Amount
1,"MPDO CHITTOOR",11022202262,8448001090002011000NVN,149835
2,"MPDO GUDIPALA",11022202264,8448001090002011000NVN,380422
3,"MPDO THAVANAMPALLI",11022202265,8448001090002011000NVN,378054
4,"MPDO PENUMUR",11022202266,8448001090002011000NVN,187208
5,"MPDO PUTHALAPATTU",11022202267,8448001090002011000NVN,848159
6,"MPDO PALASAMUDRAM",11022202269,8448001090002011000NVN,499923
7,"MPDO IRALA",11022202270,8448001090002011000NVN,1601611
8,"MPDO BANGARUPALEM",11032202002,8448001090002011000NVN,180112
9,"MPDO GUDUPALLI",11052202007,8448001090002011000NVN,100000
10,"MPDO SANTHIPURAM",11052202010,8448001090002011000NVN,430089
11,"MPDO KURABALAKOTA",11062202005,8448001090002011000NVN,349891
12,"MPDO VIJAYAPURAM",11072202007,8448001090002011000NVN,280424
13,"MPDO PAKALA",11082202006,8448001090002011000NVN,54996
14,"MPDO PUTTUR",11122202012,8448001090002011000NVN,172522
15,"MPDO B.N.KANDRIGA",11172202002,8448001090002011000NVN,99977
