Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,1010102004,8449-120-30,3200000
2,JDA Vizianagarm,22010102005,8449-120-30,2800000
3,Jda Visakhapatnam,2010102002,8449-120-30,3700000
4,Jda East Godavari,3010102004,8449-120-30,5100000
5,Jda West Godavari,4010102006,8449-120-30,5200000
6,Jda Krishna,5010102002,8449-120-30,4200000
7,JDA Guntur,6010102002,8449-120-30,6800000
8,JDA Prakasam,7010102001,8449-120-30,8210000
9,JDA SPS Nellore,8010102002,8449-120-30,4000000
10,Jda Kadapa,12010102008,8449-120-30,4500000
11,JDA Kurnool,9010102001,8449-120-30,4800000
12,JDA Ananthapur,10010102007,8449-120-30,9250000
13,Jda Chittor,11010102002,8449-120-30,6000000
