Sno,Starting;Leaf,Ending;Leaf
3351;3375;25
3376;3400;25
3401;3425;25
3426;3450;25
3451;3475;25
3476;3500;25
3501;3525;25
3526;3550;25
3551;3575;25
3576;3600;25
3601;3625;25
3626;3650;25
3651;3675;25
3676;3700;25
3701;3725;25
3726;3750;25
3751;3775;25
3776;3800;25
3801;3825;25
3826;3850;25
3851;3875;25
3876;3900;25
3901;3925;25
3926;3950;25
3951;3975;25
3976;4000;25
4001;4025;25
4026;4050;25
4051;4075;25
4076;4100;25
4101;4125;25
4126;4150;25
4151;4175;25
4176;4200;25
4201;4225;25
4226;4250;25
4251;4275;25
4276;4300;25
4301;4325;25
4326;4350;25
4351;4375;25
4376;4400;25
4401;4425;25
4426;4450;25
4451;4475;25
4476;4500;25
4501;4525;25
4526;4550;25
4551;4575;25
4576;4600;25
4601;4625;25
4626;4650;25
4651;4675;25
4676;4700;25
4701;4725;25
4726;4750;25
4751;4775;25
4776;4800;25
4801;4825;25
4826;4850;25
4851;4875;25
4876;4900;25
4901;4925;25
4926;4950;25
4951;4975;25
4976;5000;25
5001;5025;25
5026;5050;25
5051;5075;25
5076;5100;25
5101;5125;25
5126;5150;25
5151;5175;25
5176;5200;25
5201;5225;25
5226;5250;25
5251;5275;25
5276;5300;25
5301;5325;25
5326;5350;25
5351;5375;25
5376;5400;25
5401;5425;25
5426;5450;25
5451;5475;25
5476;5500;25
5501;5525;25
5526;5550;25
5551;5575;25
5576;5600;25
5601;5625;25
5626;5650;25
5651;5675;25
5676;5700;25
5701;5725;25
5726;5750;25
5951;6000;50
