Sno,"Account Name","DDO Code",HOA,Amount
1,"JDA Srikakulam",1010102004,8449-120-30,2000000
2,"JDA Vizianagarm",22010102005,8449-120-30,2000000
3,"Jda Visakhapatnam",02010102002,8449-120-30,2000000
4,"Jda East Godavari",03010102004,8449-120-30,8000000
5,"Jda West Godavari",04010102006,8449-120-30,4000000
6,"Jda Krishna",05010102002,8449-120-30,2000000
7,"JDA Guntur",06010102002,8449-120-30,9000000
8,"JDA Prakasam",07010102001,8449-120-30,2000000
9,"JDA SPS Nellore",08010102002,8449-120-30,2000000
10,"JDA Kurnool",09010102001,8449-120-30,2000000
11,"JDA Kadapa",12010102008,8449-120-30,2000000
12,"Jda Chittor",11010102002,8449-120-30,2000000
