Sno,Starting Leaf,Ending Leaf
1,3501,3525
2,3526,3550
3,3551,3575
4,3576,3600
5,3601,3625
6,3626,3650
7,3651,3675
8,3676,3700
9,3701,3725
10,3726,3750
11,3751,3775
12,3776,3800
13,3801,3825
14,3826,3850
15,3851,3875
16,3876,3900
17,3901,3925
18,3926,3950
19,3951,3975
20,3976,4000
21,4001,4025
22,4026,4050
23,4051,4075
24,4076,4100
25,4101,4125
26,4126,4150
27,4151,4175
28,4176,4200
29,4201,4225
30,4226,4250
31,4251,4275
32,4276,4300
33,4301,4325
34,4326,4350
35,4351,4375
36,4376,4400
37,4401,4425
38,4426,4450
39,4451,4475
40,4476,4500
41,4501,4525
42,4526,4550
43,4551,4575
44,4576,4600
45,4601,4625
46,4626,4650
47,4651,4675
48,4676,4700
49,4701,4725
50,4726,4750
51,4751,4775
52,4776,4800
53,4801,4825
54,4826,4850
55,4851,4875
56,4876,4900
57,4901,4925
58,4926,4950
59,4951,4975
60,4976,5000
61,5001,5025
62,5026,5050
63,5051,5075
64,5076,5100
65,5101,5125
66,5126,5150
67,5151,5175
68,5176,5200
69,5201,5225
70,5226,5250
71,5251,5275
72,5276,5300
73,5301,5325
74,5326,5350
75,5351,5375
76,5376,5400
77,5401,5425
78,5426,5450
79,5451,5475
80,5476,5500
81,5501,5525
82,5526,5550
83,5551,5575
84,5576,5600
85,5601,5625
86,5626,5650
87,5651,5675
88,5676,5700
89,5701,5725
90,5726,5750
91,5751,5775
92,5776,5800
93,5801,5825
94,5826,5850
95,5851,5875
96,5876,5900
97,5901,5925
98,5926,5950
99,5951,5975
100,5976,6000
101,6001,6025
102,6026,6050
103,6051,6075
104,6076,6100
105,6101,6125
106,6126,6150
107,6151,6175
108,6176,6200
109,6201,6225
110,6226,6250
111,6251,6275
112,6276,6300
113,6301,6325
114,6326,6350
115,6351,6375
116,6376,6400
117,6401,6425
118,6426,6450
119,6451,6475
120,6476,6500
121,6501,6525
122,6526,6550
123,6551,6575
124,6576,6600
125,6601,6625
126,6626,6650
127,6651,6675
128,6676,6700
129,6701,6725
130,6726,6750
131,6751,6775
132,6776,6800
133,6801,6825
134,6826,6850
135,6851,6875
136,6876,6900
137,6901,6925
138,6926,6950
139,6951,6975
140,6976,7000
141,7001,7025
142,7026,7050
143,7051,7075
144,7076,7100
145,7101,7125
146,7126,7150
147,7151,7175
148,7176,7200
149,7201,7225
150,7226,7250
151,7251,7275
152,7276,7300
153,7301,7325
154,7326,7350
155,7351,7375
156,7376,7400
157,7401,7425
158,7426,7450
159,7451,7475
160,7476,7500
161,7501,7525
162,7526,7550
163,7551,7575
164,7576,7600
165,7601,7625
166,7626,7650
167,7651,7675
168,7676,7700
169,7701,7725
170,7726,7750
171,7751,7775
172,7776,7800
173,7801,7825
174,7826,7850
175,7851,7875
176,7876,7900
177,7901,7925
178,7926,7950
179,7951,7975
180,7976,8000
181,8001,8025
182,8026,8050
183,8051,8075
184,8076,8100
185,8101,8125
186,8126,8150
187,8151,8175
188,8176,8200
189,8201,8225
190,8226,8250
191,8251,8275
192,8276,8300
193,8301,8325
194,8326,8350
