Sno,Account Name,DDO Code,HOA,Amount
1,"Chief Planning Officer, Srikakulam",0101-2002-001,8448-120-22,100000
2,"Chief Planning Officer, Visakhapatnam",0201-2002-001,8448-120-22,100000
3,"Chief Planning Officer, Vizaianagarm",2201-2002-001,8448-120-22,100000
4,"Chief Planning Officer, Kakinada,  East Godavari Dist., ",0301-2002-001,8448-120-22,100000
5,"Chief Planning Officer, Eluru, West Godavari Dist., ",0401-2002-001,8448-120-22,100000
6,"Chief Planning Officer, Machilipatnam, Krishna Dist.,  ",0501-2002-001,8448-120-22,100000
7,"Chief Planning Officer, Guntur",0601-2002-001,8448-120-22,100000
8,"Chief Planning Officer, Ongole, Prakasam Dist., ",0701-2002-001,8448-120-22,100000
9,"Chief Planning Officer, SPSR Nellore",0801-2002-001,8448-120-22,100000
10,"Chief Planning Officer, Kurnool",0901-2002-001,8448-120-22,100000
11,"Chief Planning Officer, Chittoor",1101-2002-001,8448-120-22,100000
12,"Chief Planning Officer, YSR Kadapa",1201-2002-001,8448-120-22,100000
13," Chief Planning Officer, Ananthapuramu.",1001-2002-001,8448-120-22,100000
