Sno,Party Name,Party Account no,Party Bank Name,Party Bank Branch,Party DDO Code,Party Amount
1,Horticulture Dept oil palm area expansion,01 APSHQT,State Bank Of India,Gowliguda Hyderabad,27020103001,117160000
2,Forest Department,75 APSHQT,State Bank Of India,Gowliguda Hyderabad,27020407001,36800000
3,AP MARKFED DEPT,76 APSHQT,State Bank Of India,Gowliguda Hyderabad,27020105001,15300000
