Sno,Account Name,DDO Code,HOA,Amount
1,"Librarian, Branch Library, NELLIMARLA",,30676671411,37875
2,"Librarian, Branch Library, CHEEPURUPALLI",,11615581112,48148
3,"Librarian, Branch Library, GARIVIDI",,31861249876,51427
4,"Librarian, Branch Library, MERAKAMUDIDAM",,11615584168,51366
5,"Librarian, Branch Library, GURLA",,11614561345,39064
6,"Librarian, Branch Library, DENKADA",,30661757409,28018
7,"Librarian, Branch Library, GAJAPATINAGARAM",,30663115404,58664
8,"Librarian, Branch Library, Devupalli",,32576163199,21039
9,"Librarian, Branch Library, DATTIRAJERU",,32358007988,40571
10,"Librarian, Branch Library, S.KOTA",,32426065967,52919
11,"Librarian, Branch Library, VEPADA",,11356720364,27915
12,"Librarian, Branch Library, L.KOTA",,32435685992,47833
13,"lIbrarian, Branch Library, JAMI",,32431330226,20930
14,"Librarian, Branch Library, GAJULAREGA",,32499737811,102048
15,"Librarian, Branch Library, SEETANAGARAM",,30814568828,"34,552"
16,"Librarian, Branch Library, TERLAM",,32461845899,35611
17,"Librarian, Branch Library, BOBBILI",,30892807004,73030
18,"Record Assistant, Branch Library, BONDAPALLI",,11635834693,24649
19,"Librarian,  Branch Library, GANTYADA",,32462024122,23390
20,"Attender, Branch Library, BHOGAPURAM",,32504975842,30387
21,"Attender, Branch Library, PARVATIPURAM",,32794791862,89526
22,"K.Kumara Raja, Vizianagaram",,31625486295,51133
23,"K.Poturaju, Visakhapatnam",,30269839821,39278
24,"S.Ch.Narayana Rao, Vizianagaram",,32301627705,36872
25,"P.Srinivasa Rao,  VIZIANAGARAM",,10540833953,25665
26,"P.Sailaja,  VIZIANAGARAM",,10540815436,34275
27,"K.Srinivas, Vizianagaram",,32305223742,22690
28,"G.Umadevi, Vizianagaram",,3017160378-2,21899
29,"A.Appa Rao, Vizianagaram",,32475058861,33975
30,"K.Kamala, Vizianagaram, ",,11307424909,23061
31,"B.Raja Gopala Rao, ,Viziangaram",,32671929995,14309

