Sno,"Account Name","DDO Code",HOA,Amount
1,"MPDO CHITTOOR",11022202262,8448001090002001NVN,1848540
2,"MPDO YADAMARI",11022202263,8448001090002001NVN,5595447
3,"MPDO GUDIPALA",11022202264,8448001090002001NVN,79250
4,"MPDO THAVANAMPALLI",11022202265,8448001090002001NVN,2817720
5,"MPDO PENUMUR",11022202266,8448001090002001NVN,1137895
6,"MPDO PUTHALAPATTU",11022202267,8448001090002001NVN,5968337
7,"MPDO G.D.NELLORE",11022202268,8448001090002001NVN,5426250
8,"MPDO PALASAMUDRAM",11022202269,8448001090002001NVN,404200
9,"MPDO IRALA",11022202270,8448001090002001NVN,5926400
10,"MPDO BANGARUPALEM",11032202002,8448001090002001NVN,5413630
11,"MPDO CHANDRAGIRI",11042202006,8448001090002001NVN,130650
12,"MPDO GUDUPALLI",11052202007,8448001090002001NVN,566100
13,"MPDO KUPPAM",11052202008,8448001090002001NVN,3737750
14,"MPDO RAMAKUPPAM",11052202009,8448001090002001NVN,2532545
15,"MPDO SANTHIPURAM",11052202010,8448001090002001NVN,4090200
16,"MPDO KURABALAKOTA",11062202005,8448001090002001NVN,1709270,,,
17,"MPDO B.KOTHAKOTA",11062202004,8448001090002001NVN,2095865,,,
18,"MPDO MADANAPALLI",11062202006,8448001090002001NVN,3613995,,,
19,"MPDO NIMMANAPALLI",11062202007,8448001090002001NVN,1814220,,,
20,"MPDO PAKALA",11082202006,8448001090002001NVN,2217687
21,"MPDO PULICHERLA",11082202007,8448001090002001NVN,2492715
22,"MPDO PALAMANER",11092202016,8448001090002001NVN,857963
23,"MPDO GANGAVARAM",11092202017,8448001090002001NVN,1487087
24,"MPDO BAIREDDIPALLI",11092202018,8448001090002001NVN,388540
25,"MPDO V.KOTA",11092202019,8448001090002001NVN,3926671
26,"MPDO PILER",11102202003,8448001090002001NVN,4072493
27,"MPDO CHINNAGOTTIGALLU",11102202004,8448001090002001NVN,416700
28,"MPDO ROMPICHERLA",11102202005,8448001090002001NVN,407955
29,"MPDO K.V.PALLI",11102202006,8448001090002001NVN,3093635
30,"MPDO YERRAVARIPALEM",11102202007,8448001090002001NVN,258375
31,"MPDO SODAM",11112202004,8448001090002001NVN,1581572
32,"MPDO PUNGANUR",11112202005,8448001090002001NVN,2351535
33,"MPDO PEDDAPANJANI",11112202006,8448001090002001NVN,891580
34,"MPDO CHOWDEPALLI",11112202007,8448001090002001NVN,665160
35,"MPDO RAMASAMUDRAM",11112202008,8448001090002001NVN,2426020
36,"MPDO SOMALA",11112202009,8448001090002001NVN,877070
37,"MPDO PICHATURU",11122202009,8448001090002001NVN,9000
38,"MPDO KARVETINAGAR",11122202010,8448001090002001NVN,84460
39,"MPDO S.R.PURAM",11122202013,8448001090002001NVN,730685
40,"MPDO VEDURUKUPPAM",11122202014,8448001090002001NVN,963135
41,"MPDO THAMBALLAPALLI",11152202002,8448001090002001NVN,2718425
42,"MPDO P.T.M.",11152202003,8448001090002001NVN,2111400
43,"MPDO MULAKALACHERUVU",11152202004,8448001090002001NVN,674490
44,"MPDO PEDDAMANDYAM",11152202005,8448001090002001NVN,2360160
45,"MPDO RAMACHANDRAPURAM",11162202011,8448001090002001NVN,116240
46,"MPDO TIRUPATHI RURAL",11162202012,8448001090002001NVN,180450
47,"MPDO VALMIKIPURAM",11182202007,8448001090002001NVN,1371713
48,"MPDO GURRAMKONDA",11182202008,8448001090002001NVN,1399710
49,"MPDO KALAKADA",11182202009,8448001090002001NVN,1238897
50,"MPDO KALIKIRI",11182202010,8448001090002001NVN,2352365
