Sno,Account Name,DDO Code,HOA,Amount
1,PALASA,01080702001,8342001170004002000NVN,1430.00
2,VISAKHAPATNAM,02010702002,8342001170004002000NVN,9767.00
3,CHODAVARAM,02070702001,8342001170004002000NVN,10306.00
4,NARSIPATNAM,02120702001,8342001170004002000NVN,10624.00
5,EAST GODAVARI,03010702001,8342001170004002000NVN,1915189.00
6,ADDATHEEGALA,03020702001,8342001170004002000NVN,31872.00
7,AMALAPURAM,03040702001,8342001170004002000NVN,101361.00
8,KOTHAPETA,03060702001,8342001170004002000NVN,2980.00
9,MUMMIDIVARAM,03070702001,8342001170004002000NVN,15980.00
10,PEDDAPURAM,03080702001,8342001170004002000NVN,4598.00
11,RAJAMUNDRY(N),03120702001,8342001170004002000NVN,4560.00
12,RAMPACHODAVARAM,03140702001,8342001170004002000NVN,108195.00
13,JAGGAMPET,03180702001,8342001170004002000NVN,22397.00
14,KORUKONDA,03190702001,8342001170004002000NVN,1140.00
15,WEST GODAVARI,04010702001,8342001170004002000NVN,2531.00
16,AKIVEEDU,04020702001,8342001170004002000NVN,10449.00
17,BHIMAVARAM,04030702001,8342001170004002000NVN,4077.00
18,BHIMADOLE,04040702001,8342001170004002000NVN,20035.00
19,AVANIGADDA,05020702001,8342001170004002000NVN,20150.00
20,BANTUMILLI,05040702001,8342001170004002000NVN,10842.00
21,NUZVID,05120702001,8342001170004002000NVN,74352.00
22,VIJAYAWADA(WEST),05160702001,8342001170004002000NVN,27653.00
23,GUNTUR,06010702001,8342001170004002000NVN,2125034.00
24,BAPATLA,06020702001,8342001170004002000NVN,8993.00
25,CHILAKALURIPET,06030702001,8342001170004002000NVN,12465.00
26,GURAJALA(PALNAD),06060702001,8342001170004002000NVN,483190.00
27,MACHERLA,06070702001,8342001170004002000NVN,494762.00
28,NAGARAM,06090702001,8342001170004002000NVN,23354.00
29,REPALLE,06140702001,8342001170004002000NVN,28856.00
30,SATTENAPALLI,06150702001,8342001170004002000NVN,1649.00
31,VINUKONDA,06180702001,8342001170004002000NVN,277653.00
32,PRAKASAM,07010702001,8342001170004002000NVN,10457.00
33,ADDANKI,07020702001,8342001170004002000NVN,96692.00
34,CHIRALA,07030702001,8342001170004002000NVN,38789.00
35,GIDDALUR,07060702001,8342001170004002000NVN,54525.00
36,KANIGIRI,07080702001,8342001170004002000NVN,3964.00
37,MARKAPUR,07090702001,8342001170004002000NVN,29562.00
38,PODILI,07120702001,8342001170004002000NVN,87062.00
39,NELLORE,08010702001,8342001170004002000NVN,1408.00
40,KAVALI,08050702001,8342001170004002000NVN,997.00
41,SULLURPETA,08080702001,8342001170004002000NVN,720.00
42,PODALAKUR,08120702001,8342001170004002000NVN,15713.00
43,KURNOOL,09010702001,8342001170004002000NVN,2233712.00
44,ADONI,09020702001,8342001170004002000NVN,817750.00
45,ALLAGADDA,09030702001,8342001170004002000NVN,2553.00
46,BANGANAPALLE,09060702001,8342001170004002000NVN,100787.00
47, DHONE,09070702001,8342001170004002000NVN,73826.00
48, KODUMUR AT GUDUR,09080702001,8342001170004002000NVN,200579.00
49, KOILKUNTLA,09090702001,8342001170004002000NVN,4579.00
50, NANDIKOTKUR,09110702001,8342001170004002000NVN,8143.00
51, NANDYAL,09120702001,8342001170004002000NVN,9538.00
52, PATTIKONDA,09130702001,8342001170004002000NVN,136778.00
53, SRISAILAM,09150702001,8342001170004002000NVN,384256.00
54, ANANTAPUR,10010702001,8342001170004002000NVN,25528.00
55, DHARMAVARAM,10030702001,8342001170004002000NVN,7261.00
56, GOOTY,10040702001,8342001170004002000NVN,24831.00
57, HINDUPUR,10060702001,8342001170004002000NVN,2046.00
58, KADIRI,10070702001,8342001170004002000NVN,42057.00
59, MADAKASIRA,10120702001,8342001170004002000NVN,227.00
60, SINGANAMALA,10150702001,8342001170004002000NVN,3991.00
61, URAVAKONDA,10170702001,8342001170004002000NVN,1856.00
62, CHITTOOR,11010702004,8342001170004002000NVN,2748854.00
63, CHANDRAGIRI ,11040702001,8342001170004002000NVN,2032.00
64, KUPPAM,11050702001,8342001170004002000NVN,5054.00
65, MADANAPALLI,11060702001,8342001170004002000NVN,9685.00
66, PALAMANER,11090702001,8342001170004002000NVN,31524.00
67, PILER,11100702001,8342001170004002000NVN,119810.00
68, PUNGANUR,11110702001,8342001170004002000NVN,496376.00
69, PUTTUR,11120702001,8342001170004002000NVN,16014.00
70, SATYAVEDU,11130702001,8342001170004002000NVN,53031.00
71, THAMBALLAPALLE,11150702001,8342001170004002000NVN,589748.00
72, TIRUPATI,11160702005,8342001170004002000NVN,21778.00
73, THOTTAMBEDU,11170702001,8342001170004002000NVN,9574.00
74, VAYALPAD,11180702001,8342001170004002000NVN,419945.00
75,Y S R,12010702004,8342001170004002000NVN,88176.00
76, BADVEL,12020702001,8342001170004002000NVN,511.00
77, PRODDATUR,12080702001,8342001170004002000NVN,7910.00
78, RAILWAY KODUR,12100702001,8342001170004002000NVN,4273.00
79, SIDHAVATTAM,12130702001,8342001170004002000NVN,1359.00
80, VIZAYA NAGARAM,22010702001,8342001170004002000NVN,13586.00
81, GAJAPATHINAGARAM,22050702001,8342001170004002000NVN,44741.00
82, NELLIMARLA,22080702001,8342001170004002000NVN,6577.00
83, PARVATHIPURAM,22090702001,8342001170004002000NVN,2076.00
