Sno,Starting Leaf,Ending Leaf
1,4176,4200
2,4201,4225
3,4226,4250
4,4251,4275
5,4276,4300
6,4301,4325
7,4326,4350
8,4351,4375
9,4376,4400
10,4401,4425
11,4426,4450
12,4451,4475
13,4476,4500
14,4501,4525
15,4526,4550
16,4551,4575
17,4576,4600
18,4601,4625
19,4626,4650
20,4651,4675
21,4676,4700
22,4701,4725
23,4726,4750
24,4751,4775
25,4776,4800
26,4801,4825
27,4826,4850
28,4851,4875
29,4876,4900
30,4901,4925
31,4926,4950
32,4951,4975
33,4976,5000
34,5001,5025
35,5026,5050
36,5051,5075
37,5076,5100
38,5101,5125
39,5126,5150
40,5151,5175
41,5176,5200
42,5201,5225
43,5226,5250
44,5251,5275
45,5276,5300
46,5301,5325
47,5326,5350
48,5351,5375
49,5376,5400
50,5401,5425
51,5426,5450
52,5451,5475
53,5476,5500
54,5501,5525
55,5526,5550
56,5551,5575
57,5576,5600
58,5601,5625
59,5626,5650
60,5651,5675
61,5676,5700
62,5701,5725
63,5726,5750
64,5751,5775
65,5776,5800
66,5801,5825
67,5826,5850
68,5851,5875
69,5876,5900
70,5901,5925
71,5926,5950
72,5951,5975
73,5976,6000
74,6001,6025
75,6026,6050
76,6051,6075
77,6076,6100
78,6101,6125
79,6126,6150
80,6151,6175
81,6176,6200
82,6201,6225
83,6226,6250
84,6251,6275
85,6276,6300
86,6301,6325
87,6326,6350
88,6351,6375
89,6376,6400
90,6401,6425
91,6426,6450
92,6451,6475
93,6476,6500
94,6501,6525
95,6526,6550
96,6551,6575
97,6576,6600
98,6601,6625
99,6626,6650
100,6651,6675
101,6676,6700
102,6701,6725
103,6726,6750
104,6751,6775
105,6776,6800
106,6801,6825
107,6826,6850
108,6851,6875
109,6876,6900
110,6901,6925
111,6926,6950
112,6951,6975
113,6976,7000
114,7001,7025
115,7026,7050
116,7051,7075
117,7076,7100
118,7101,7125
119,7126,7150
120,7151,7175
121,7176,7200
122,7201,7225
123,7226,7250
124,7251,7275
125,7276,7300
126,7301,7325
127,7326,7350
128,7351,7375
129,7376,7400
130,7401,7425
131,7426,7450
132,7451,7475
133,7476,7500
134,8451,8500
135,8501,8550
136,8551,8600
137,8601,8650
138,8651,8700
139,8701,8750
140,8751,8800
141,8801,8850
142,8851,8900
143,8901,8950
144,8951,9000
145,9001,9050
146,9051,9100
147,9101,9150
148,9151,9200
149,9201,9250
150,9251,9300
151,9301,9350
152,9351,9400
153,9401,9450
154,9451,9500
155,9501,9550
156,9551,9600
157,9601,9650
158,9651,9700
159,9701,9750
160,9751,9800
161,9801,9850
162,9851,9900
163,9901,9950
164,9951,10000
165,10001,10050
166,10051,10100
167,10101,10150
168,10151,10200
169,10201,10250
170,10251,10300
171,10301,10350
172,10351,10400
173,10401,10450
174,10451,10500
175,10501,10550
176,10551,10600
177,10601,10650
178,10651,10700
179,10701,10750
180,10751,10800
181,10801,10850
182,10851,10900
183,10901,10950
184,10951,11000
185,11001,11050
186,11051,11100
187,11101,11150
188,11151,11200
189,11201,11250
190,11251,11300
191,11301,11350
192,11351,11400
193,11401,11450
194,11451,11500
195,11501,11550
196,11551,11600
197,11601,11650
198,11651,11700
199,11701,11750
200,11751,11800
201,11801,11850
202,11851,11900
203,11901,11950
204,11951,12000
205,12001,12050
206,12051,12100
207,12101,12150
208,12151,12200
209,12201,12250
210,12251,12300
211,12301,12350
212,12351,12400
213,12401,12450
214,12451,12500
215,12501,12550
216,12551,12600
217,12601,12650
218,12651,12700
219,12701,12750
220,12751,12800
221,12801,12850
222,12851,12900
223,12901,12950
224,12951,13000
225,13001,13050
226,13051,13100
227,13101,13150
228,13151,13200
229,13201,13250
230,13251,13300
231,13301,13350
232,13351,13400
233,13401,13450
234,13451,13500
235,14101,14200
236,14201,14300
237,14301,14400
238,14401,14500
239,14501,14600
240,14601,14700
241,14701,14800
242,14801,14900
243,14901,15000
244,15001,15100
245,15101,15200
246,15201,15300
247,15301,15400
248,15401,15500
