Sno,"Account Name","DDO Code",HOA,Amount
1,MPDOSEETHARAMAPURAM,08072202057,844810902001,128000
2,MPDOUDAYAGIRI,08072202059,844810902001,143000
3,MPDOVARIKUNTAPADU,08072202060,844810902001,178000
4,MPDODUTTALUR,08112202057,844810902001,143000
5,MPDOVINJAMUR,08112202028,844810902001,118000
6,MPDOKALIGIRI,08112202027,844810902001,173000
7,MPDOKONDAPURAM,08112202058,844810902001,153000
8,MPDOKAVALI,08052202044,844810902001,148000
9,MPDOJALADANKI,08052202043,844810902001,143000
10,MPDOBOGOLE,08052202042,844810902001,138000
11,"MPLCOMMRKAVALI MUNICIPALITY",08051806001,844812022,268000
12,MPDOKOVUR,08062202051,844810902001,108000
13,MPDOKODAVALUR,08062202050,844810902001,163000
14,MPDOVIDAVALUR,08062202052,844810902001,128000
15,MPDOALLUR,08062202049,844810902001,123000
16,MPDOBUCHIREDDIPALEM,08092202001,844810902001,133000
17,MPDODAGADARTHI,08092202035,844810902001,158000
18,MPDOSANGAM,08092202036,844810902001,158000
19,MPDOATMAKUR,08042202047,844810902001,163000
20,MPDOMARRIPADU,08042202049,844810902001,178000
21,MPDOANUMASAMUDRAMPETA,08042202048,844810902001,153000
22,MPDOANANTHASAGARAM,08042202046,844810902001,178000
23,"MPLCOMMRATMAKUR MUNICIPALITY",08041806001,844812022,183000
24,MPDOINDUKURPET,"08152202013        ",844810902001,158000
25,MPDOTHOTAPALLIGUDUR,08022202157,844810902001,168000
26,MPDONELLORE,08022202154,844810902001,143000
27,MPDOVENKATACHALAM,08022202155,844810902001,183000
28,MPDOMUTHUKUR,08022202156,844810902001,158000
29,"MPLCOMMRNELLORE MUNICIPAL CORPORATION",08011806001,844812022,338000
30,MPDOPODALAKUR,08122202043,844810902001,208000
31,MPDOCHEJERLA,08122202041,844810902001,168000
32,MPDOKALUVOYA,08122202042,844810902001,158000
33,MPDORAPUR,08142202031,844810902001,163000
34,MPDOSYDAPURAM,08032202002,844810902001,213000
35,MPDOGUDUR,08032202088,844810902001,173000
36,MPDOMANUBOLE,08032202089,844810902001,153000
37,MPDOCHILLAKUR,08032202087,844810902001,213000
38,"MPLCOMMRGUDUR MUNICIPALITY",08031806001,844812022,233000
39,MPDOVAKADU,08162202049,844810902001,153000
40,MPDOKOTA,08162202048,844810902001,163000
41,MPDOCHITTAMUR,08162202047,844810902001,173000
42,MPDONAIDUPETA,08132202076,844810902001,148000
43,MPDOPELLAKUR,08132202078,844810902001,178000
44,MPDOOJILI,08132202077,844810902001,188000
45,"MPLCOMMRNAIDUPETA MUNICIPALITY",08131806001,844810203001,168000
46,MPDOSULLURPETA,08082202059,844810902001,153000
47,MPDODORAVARISATRAM,08082202057,844810902001,168000
48,MPDOTADA,08082202060,844810902001,148000
49,"MPLCOMMRSULLURPETA MUNICIPALITY",08081806001,844812022,183000
50,MPDOVENKATAGIRI,08102202047,844810902001,158000
51,MPDOBALAYAPALLI,08102202045,844810902001,178000
52,MPDODAKKILI,08102202046,844810902001,193000
53,"MPLCOMMRVENKATAGIRI MUNICIPALITY",08101806001,844812022,193000
