Sno,Starting Leaf,Ending Leaf
1,2401,2425
2,2426,2450
3,2451,2475
4,2476,2500
5,2501,2525
6,2526,2550
7,2551,2575
8,2576,2600
9,2601,2625
10,2626,2650
11,2651,2675
12,2676,2700
13,2701,2725
14,2726,2750
15,2751,2775
16,2776,2800
17,2801,2825
18,2826,2850
19,2851,2875
20,2876,2900
21,2901,2925
22,2926,2950
23,2951,2975
24,2976,3000
25,3001,3025
26,3026,3050
27,3051,3075
28,3076,3100
29,3101,3125
30,3126,3150
31,3151,3175
32,3176,3200
33,3201,3225
34,3226,3250
35,3251,3275
36,3276,3300
37,3301,3325
38,3326,3350
39,3351,3375
40,3376,3400
41,3401,3425
42,3426,3450
43,3451,3475
44,3476,3500
45,3501,3525
46,3526,3550
47,3551,3575
48,3576,3600
49,3601,3625
50,3626,3650
51,3651,3675
52,3676,3700
53,3701,3725
54,3726,3750
55,4401,4450
56,4451,4500
57,4501,4550
58,4551,4600
59,4601,4650
60,4651,4700
61,4701,4750
62,4751,4800
63,4801,4900
64,4901,5000
65,5001,5100
66,5101,5200
67,5201,5300
68,5301,5400
69,5401,5500
70,5501,5600
71,5601,5700
72,5701,5750
