Sno,Account Name,DDO Code,HOA,Amount
1,JDA Srikakulam,1010102004,8449-120-30,4155500
2,JDA Vizianagarm,22010102005,8449-120-30,8715500
3,Jda Visakhapatnam,2010102002,8449-120-30,3435500
4,Jda East Godavari,3010102004,8449-120-30,21095500
5,Jda West Godavari,4010102006,8449-120-30,24426500
6,Jda Krishna,5010102002,8449-120-30,15396500
7,JDA Guntur,6010102002,8449-120-30,27951500
8,JDA Prakasam,7010102001,8449-120-30,15970500
9,JDA SPS Nellore,8010102002,8449-120-30,17309500
10,Jda Kadapa,12010102008,8449-120-30,12590500
11,JDA Kurnool,9010102001,8449-120-30,15500500
12,JDA Ananthapur,10010102007,8449-120-30,16512500
13,Jda Chittor,11010102002,8449-120-30,17840000
